region,site,Ind,blade_weight,blade_length,blade_thickness,stipe_mass,stipe_length,stipe_diameter,digits,thallus_mass,total_length
WC,Kommetjie,2,1.9,160,2,1.5,120,56,12,3000,256
WC,Kommetjie,3,1.5,120,1.4,2.25,149,68.5,12,3750,269
WC,Kommetjie,4,0.55,110,1.5,1.15,97,69,13,1700,207
WC,Kommetjie,5,1,159,1.5,2.6,167,60,8,3600,326
WC,Kommetjie,6,2.3,149,2,NA,146,73,15,5100,295
WC,Kommetjie,7,1.6,107,1.75,2.9,161,63,17,4500,268
WC,Kommetjie,8,0.65,104,2,0.75,110,51,11,1400,214
WC,Kommetjie,10,0.95,111,1.25,1.6,136,56,11,2550,247
WC,Kommetjie,11,2.3,178,2.5,4.2,176,76,8,6500,354
FB,Bordjiestif North,1,1.75,145,1,0.75,82,40,19,2500,227
FB,Bordjiestif North,3,2.35,146,1.75,1.25,118,46,20,3600,264
FB,Bordjiestif North,4,1.7,116,1.25,NA,117,46.5,23,3220,233
FB,Bordjiestif North,5,1.4,110,1,1,112,39.5,20,2400,222
FB,Bordjiestif North,6,2.45,136,1,1.95,132,54,24,4400,268
FB,Bordjiestif North,7,2,124,1.25,1.3,119,45,18,3300,243
FB,Bordjiestif North,8,2.4,121,1.25,2.6,165,55,22,5000,286
FB,Bordjiestif North,9,1.3,102,1,1.25,112,50,16,2550,214
FB,Bordjiestif North,10,1.7,149,1,1.35,113,50,11,3050,262
FB,Bordjiestif North,12,1.35,112,1,1.05,92,49.5,17,2400,204
WC,Olifantsbos,1,1.85,139,1.5,1.8,109,66,26,3650,248
WC,Olifantsbos,2,1.25,147,1.2,1.75,123,58,7,3000,270
WC,Olifantsbos,3,3.25,172,1.5,3,160,65,25,6250,332
WC,Olifantsbos,4,3.35,205,1,3,160,67,16,8100,443
WC,Olifantsbos,5,1.4,136,1.25,3,199,56.5,11,4400,335
WC,Olifantsbos,6,2.55,173,1.5,2.25,136,58,13,4800,309
WC,Olifantsbos,7,1.75,150,1.25,1.7,130,47,29,2950,258
WC,Olifantsbos,9,1.6,124,1.25,3,181,62,15,4600,305
WC,Olifantsbos,10,0.9,121,1,1.65,138,54,8,2550,259
WC,Olifantsbos,11,2.25,169,1.4,2.3,114,65.4,16,4550,283
FB,Buffels,1,1.375,150,1.35,1.25,105,49,15,2625,255
FB,Buffels,2,1.4,155,1.15,1.25,118,45,15,2650,268
FB,Buffels,3,1.65,158,1.2,1,98,42,22,2650,256
FB,Buffels,4,1,127,1,1.25,132,39,17,2250,259
FB,Buffels,5,1.5,156,1,1.25,128,46,14,2750,284
FB,Buffels,6,2.25,142,1.9,1.8,133,49,16,4050,275
FB,Buffels,7,2.2,133,1,0.9,85,45,21,3100,218
FB,Buffels,8,1.875,152,1,1.375,110,48,23,3250,262
FB,Buffels,9,2.25,170,1.1,1.36,120,47,23,3560,286
FB,Buffels,10,0.8,133,2,1.375,153,46,12,2175,286
FB,Buffels,11,1.7,123,1,1.3,115,50,24,3000,238
FB,Buffels,12,0.63,136,0.85,0.78,109,39,12,1410,245
FB,Buffels South ,1,2.25,147,2,1.125,108,46,25,3375,255
FB,Buffels South ,2,1.5,118,1,0.7,87,40,19,2200,205
FB,Buffels South ,3,1.8,107,1.4,0.875,91,46,21,2675,198
FB,Buffels South ,4,2.25,137,1.8,1.75,138,55,18,4000,275
FB,Buffels South ,5,2.5,141,1.3,1.25,104,47,16,3750,245
