t_h,R_umol,assimilated_umol,supplied_umol,U_umol_h,A_umol_h,light
0.0,2.0,0.0,0.0,1.44,1.0,True
0.02,2.0087601313858783,0.02001459390431241,0.028774725290190928,1.4374759887066593,1.001455770982621,True
0.04,2.0174410900082194,0.04005808753873822,0.05749917754695769,1.4349726771425102,1.0028900464811017,True
0.06,2.0260437142244148,0.060130055362269196,0.08617376958668416,1.4324899471279617,1.004303261400685,True
0.08,2.0345688314255135,0.0802300804155884,0.11479891184110194,1.430027678402916,1.0056958390706983,True
0.1,2.0430172582237627,0.10035775409342432,0.14337501231718744,1.4275857487762758,1.007068191629132,True
0.12,2.051389800635541,0.12051267592444131,0.1719024765599824,1.4251640342690273,1.008420720391875,True
0.14,2.0596872542598477,0.14069445335836744,0.20038170761821522,1.4227624092511537,1.009753816207318,True
0.16,2.067910404452527,0.16090270156007308,0.22881310601260033,1.4203807465726075,1.0110678597970082,True
0.18,2.0760600264963687,0.1811370432103303,0.2571970697066992,1.4180189176885774,1.0123632220829906,True
0.2,2.084136885767243,0.20139710831298943,0.2855339940802326,1.4156767927792657,1.013640264502448,True
0.22,2.092141737896407,0.22168253400832608,0.31382427190473317,1.4133542408643933,1.0148993393102173,True
0.24,2.1000753289291163,0.24199296439232312,0.34206829332143934,1.41105112991263,1.0161407898697232,True
0.26,2.107938395479669,0.2623280503416593,0.37026644582132817,1.4087673269461558,1.017364950932853,True
0.28,2.1157316648830027,0.2826874493441884,0.39841911422719145,1.4065026981405369,1.0185721489092594,True
0.3,2.123455855342961,0.30307082533470286,0.4265266806776643,1.404257108920102,1.0197627021255606,True
0.32,2.1311116760773334,0.3234778485357847,0.4545895246131184,1.402030424048994,1.0209369210748802,True
0.34,2.13869982745978,0.3439081953035533,0.48260802276333414,1.3998225077180713,1.0220951086571464,True
0.36,2.146221001158739,0.36436154797813086,0.5105825491368702,1.3976332236278126,1.0232375604105506,True
0.38,2.153675880273402,0.3848375947386512,0.5385134750120535,1.3954624350673954,1.024364564734547,True
0.4,2.161065139466865,0.4053360294626467,0.5664011689295121,1.3933100049900884,1.0254764031047505,True
0.42,2.1683894450965258,0.42585655158965674,0.5942459966861824,1.3911757960851114,1.0265733502800813,True
0.44,2.175649455341816,0.44639886598890227,0.6220483213307184,1.3890596708460992,1.0276556745024792,True
0.46,2.1828458203293524,0.46696268283088405,0.6498085031602366,1.3869614916363058,1.0287236376894988,True
0.48,2.1899791822555703,0.48754771746276354,0.677526899718334,1.384881120750681,1.0297774956200874,True
0.5,2.197050175506925,0.5081536902873942,0.7052038657943194,1.3828184204749423,1.0308174981138167,True
0.52,2.2040594267777194,0.5287803266458737,0.7328397534235933,1.3807732531417607,1.0318438892038495,True
0.54,2.211007555185632,0.5494273567034945,0.7604349118891268,1.3787454811841857,1.0328569073038874,True
0.56,2.2178951723850044,0.5700945153389768,0.7879896877239815,1.3767349671864069,1.0338567853693486,True
0.58,2.2247228826779493,0.5907815420368678,0.8155044247148173,1.3747415739319742,1.0348437510530097,True
0.6,2.2314912831233418,0.611488180783001,0.842979463906343,1.3727651644495698,1.0358180268553283,True
0.62,2.238200963643746,0.6322141799629093,0.8704151436066554,1.3708056020564339,1.036779830269662,True
0.64,2.2448525071303305,0.652959292263096,0.8978117993934268,1.368862750399545,1.0377293739225872,True
0.66,2.251446489545832,0.6737232745750615,0.9251697641208936,1.3669364734946374,1.0386668657095068,True
0.68,2.257983480025605,0.6945058879019989,0.952489367927604,1.365026635763153,1.0395925089257325,True
0.7000000000000001,2.2644640409768186,0.7153068972680661,0.9797709382448849,1.3631331020672088,1.0405065023932203,True
0.72,2.270888728175838,0.7361260716301509,1.0070147998059893,1.3612557377426602,1.041409040583125,True
0.74,2.2772580908638393,0.7569631837920479,1.034221274655887,1.359394408630342,1.0423003137343325,True
0.76,2.2835726718406963,0.7778180103209651,1.0613906821616612,1.3575489811055625,1.0431805079681291,True
0.78,2.289833007557192,0.7986903314662878,1.0885233390234799,1.3557193221059212,1.0440498053991505,True
0.8,2.2960396282055786,0.8195799310805251,1.1156195592861038,1.3539052991575207,1.0449083842427507,True
0.8200000000000001,2.30219305780854,0.8404865965423693,1.1426796543509092,1.3521067803996434,1.0457564189189301,True
0.84,2.308293814306584,0.8614101186818004,1.1697039329883843,1.3503236346079526,1.0465940801529448,True
0.86,2.3143424096439063,0.8823502917071706,1.1966927013510764,1.3485557312162826,1.0474215350727265,True
0.88,2.320339349852758,0.9033069131342057,1.2236462629869636,1.3468029403370791,1.0482389473032272,True
0.9,2.326285135136353,0.9242797837168653,1.2505649188532184,1.3450651327805447,1.0490464770578032,True
0.92,2.3321802599503463,0.9452687073799998,1.2774489673303462,1.343342180072544,1.0498442812267448,True
0.9400000000000001,2.338025213082914,0.9662734911537518,1.3042987042366658,1.3416339544713256,1.0506325134630607,True
0.96,2.3438204777334697,0.9872939451096466,1.3311144228431162,1.3399403289831093,1.0514113242656078,True
0.98,2.349566531590044,1.0083298822983184,1.357896413888362,1.3382611773765836,1.0521808610596703,True
1.0,2.3552638469053555,1.0293811186888244,1.3846449655941797,1.3365963741963691,1.0529412682750754,True
1.02,2.360912890571605,1.0504474731094968,1.4113603636811014,1.3349457947754864,1.053692687421932,True
1.04,2.366514124194014,1.071528767190287,1.4380428913843009,1.3333093152468714,1.0544352571640796,True
1.06,2.3720680041631437,1.0926248253065551,1.4646928294696988,1.3316868125539867,1.0551691133903276,True
1.08,2.377574981726007,1.113735474524266,1.4913104562502726,1.3300781644605608,1.055894389283559,True
1.1,2.3830355030560084,1.1348605445465427,1.5178960476025511,1.3284832495594994,1.056611215387778,True
1.12,2.388450009321739,1.155999867661543,1.544449876983282,1.3269019472810017,1.0573197196731692,True
1.1400000000000001,2.3938189367546334,1.1771532786916181,1.5709722154462515,1.3253341378999222,1.0580200275992369,True
