"alpha","nu","k","q_critical"
"0.05","24",36,"6.132"
"0.05","30",20,"5.475"
"0.05","30",22,"5.561"
"0.05","30",24,"5.638"
"0.05","30",26,"5.709"
"0.05","30",28,"5.773"
"0.05","30",30,"5.833"
"0.05","30",32,"5.889"
"0.05","30",34,"5.941"
"0.05","30",36,"5.990"
"0.05","40",20,"5.358"
"0.05","40",22,"5.439"
"0.05","40",24,"5.513"
"0.05","40",26,"5.580"
"0.05","40",28,"5.642"
"0.05","40",30,"5.700"
"0.05","40",32,"5.753"
"0.05","40",34,"5.802"
"0.05","40",36,"5.849"
"0.05","60",20,"5.241"
"0.05","60",22,"5.319"
"0.05","60",24,"5.389"
"0.05","60",26,"5.453"
"0.05","60",28,"5.512"
"0.05","60",30,"5.566"
"0.05","60",32,"5.617"
"0.05","60",34,"5.664"
"0.05","60",36,"5.708"
"0.05","120",20,"5.126"
"0.05","120",22,"5.200"
"0.05","120",24,"5.266"
"0.05","120",26,"5.327"
"0.05","120",28,"5.382"
"0.05","120",30,"5.434"
"0.05","120",32,"5.481"
"0.05","120",34,"5.526"
"0.05","120",36,"5.567"
"0.05","Inf",20,"5.012"
"0.05","Inf",22,"5.081"
"0.05","Inf",24,"5.144"
"0.05","Inf",26,"5.201"
"0.05","Inf",28,"5.253"
"0.05","Inf",30,"5.301"
"0.05","Inf",32,"5.346"
"0.05","Inf",34,"5.388"
"0.05","Inf",36,"5.427"
"0.05","1",38,"68.254"
"0.05","1",40,"68.914"
"0.05","1",50,"71.730"
"0.05","1",60,"73.969"
"0.05","1",70,"75.822"
"0.05","1",80,"77.398"
"0.05","1",90,"78.767"
"0.05","1",100,"79.976"
"0.05","2",38,"19.106"
"0.05","2",40,"19.284"
"0.05","2",50,"20.046"
"0.05","2",60,"20.654"
"0.05","2",70,"21.157"
"0.05","2",80,"21.585"
"0.05","2",90,"21.958"
"0.05","2",100,"22.287"
"0.05","3",38,"12.749"
"0.05","3",40,"12.865"
"0.05","3",50,"13.359"
"0.05","3",60,"13.754"
"0.05","3",70,"14.082"
"0.05","3",80,"14.361"
"0.05","3",90,"14.604"
"0.05","3",100,"14.819"
"0.05","4",38,"10.436"
"0.05","4",40,"10.528"
"0.05","4",50,"10.924"
"0.05","4",60,"11.240"
"0.05","4",70,"11.503"
"0.05","4",80,"11.727"
"0.05","4",90,"11.922"
"0.05","4",100,"12.094"
"0.05","5",38,"9.250"
"0.05","5",40,"9.330"
"0.05","5",50,"9.674"
"0.05","5",60,"9.949"
"0.05","5",70,"10.178"
"0.05","5",80,"10.373"
"0.05","5",90,"10.543"
"0.05","5",100,"10.694"
"0.05","6",38,"8.529"
"0.05","6",40,"8.601"
"0.05","6",50,"8.913"
"0.05","6",60,"9.162"
"0.05","6",70,"9.370"
"0.05","6",80,"9.547"
"0.05","6",90,"9.702"
"0.05","6",100,"9.839"
"0.05","7",38,"8.043"
"0.05","7",40,"8.110"
"0.05","7",50,"8.400"
"0.05","7",60,"8.631"
"0.05","7",70,"8.824"
"0.05","7",80,"8.989"
"0.05","7",90,"9.133"
"0.05","7",100,"9.261"
"0.05","8",38,"7.692"
"0.05","8",40,"7.756"
"0.05","8",50,"8.029"
"0.05","8",60,"8.248"
"0.05","8",70,"8.430"
"0.05","8",80,"8.586"
"0.05","8",90,"8.722"
"0.05","8",100,"8.843"
"0.05","9",38,"7.428"
"0.05","9",40,"7.488"
"0.05","9",50,"7.749"
"0.05","9",60,"7.958"
"0.05","9",70,"8.132"
"0.05","9",80,"8.281"
"0.05","9",90,"8.411"
"0.05","9",100,"8.526"
"0.05","10",38,"7.220"
"0.05","10",40,"7.278"
"0.05","10",50,"7.529"
"0.05","10",60,"7.730"
"0.05","10",70,"7.897"
"0.05","10",80,"8.041"
"0.05","10",90,"8.166"
"0.05","10",100,"8.276"
"0.05","11",38,"7.053"
"0.05","11",40,"7.109"
"0.05","11",50,"7.352"
"0.05","11",60,"7.546"
"0.05","11",70,"7.708"
"0.05","11",80,"7.847"
"0.05","11",90,"7.968"
"0.05","11",100,"8.075"
"0.05","12",38,"6.915"
"0.05","12",40,"6.970"
"0.05","12",50,"7.205"
"0.05","12",60,"7.394"
"0.05","12",70,"7.552"
"0.05","12",80,"7.687"
"0.05","12",90,"7.804"
"0.05","12",100,"7.908"
"0.05","13",38,"6.800"
"0.05","13",40,"6.853"
"0.05","13",50,"7.083"
"0.05","13",60,"7.267"
"0.05","13",70,"7.421"
"0.05","13",80,"7.552"
"0.05","13",90,"7.667"
"0.05","13",100,"7.769"
"0.05","14",38,"6.702"
"0.05","14",40,"6.754"
"0.05","14",50,"6.978"
"0.05","14",60,"7.159"
"0.05","14",70,"7.309"
"0.05","14",80,"7.437"
"0.05","14",90,"7.550"
"0.05","14",100,"7.649"
"0.05","15",38,"6.618"
"0.05","15",40,"6.669"
"0.05","15",50,"6.888"
"0.05","15",60,"7.065"
"0.05","15",70,"7.212"
"0.05","15",80,"7.338"
"0.05","15",90,"7.449"
"0.05","15",100,"7.546"
"0.05","16",38,"6.544"
"0.05","16",40,"6.594"
"0.05","16",50,"6.810"
"0.05","16",60,"6.983"
"0.05","16",70,"7.128"
"0.05","16",80,"7.252"
"0.05","16",90,"7.360"
"0.05","16",100,"7.456"
"0.05","17",38,"6.479"
"0.05","17",40,"6.529"
"0.05","17",50,"6.741"
"0.05","17",60,"6.912"
"0.05","17",70,"7.054"
"0.05","17",80,"7.176"
"0.05","17",90,"7.282"
"0.05","17",100,"7.377"
"0.05","18",38,"6.422"
"0.05","18",40,"6.471"
"0.05","18",50,"6.680"
"0.05","18",60,"6.848"
"0.05","18",70,"6.988"
"0.05","18",80,"7.108"
"0.05","18",90,"7.213"
"0.05","18",100,"7.307"
"0.05","19",38,"6.371"
"0.05","19",40,"6.419"
"0.05","19",50,"6.625"
"0.05","19",60,"6.791"
"0.05","19",70,"6.930"
"0.05","19",80,"7.048"
"0.05","19",90,"7.152"
"0.05","19",100,"7.244"
"0.05","20",38,"6.325"
"0.05","20",40,"6.372"
"0.05","20",50,"6.576"
"0.05","20",60,"6.740"
"0.05","20",70,"6.877"
"0.05","20",80,"6.994"
"0.05","20",90,"7.096"
"0.05","20",100,"7.187"
"0.05","24",38,"6.180"
"0.05","24",40,"6.226"
"0.05","24",50,"6.421"
"0.05","24",60,"6.578"
"0.05","24",70,"6.710"
"0.05","24",80,"6.822"
"0.05","24",90,"6.920"
"0.05","24",100,"7.007"
"0.05","30",38,"6.036"
"0.05","30",40,"6.080"
"0.05","30",50,"6.267"
"0.05","30",60,"6.417"
"0.05","30",70,"6.542"
"0.05","30",80,"6.650"
"0.05","30",90,"6.744"
"0.05","30",100,"6.827"
"0.05","40",38,"5.893"
"0.05","40",40,"5.934"
"0.05","40",50,"6.112"
"0.05","40",60,"6.255"
"0.05","40",70,"6.375"
"0.05","40",80,"6.477"
"0.05","40",90,"6.566"
"0.05","40",100,"6.645"
"0.05","60",38,"5.750"
"0.05","60",40,"5.789"
"0.05","60",50,"5.958"
"0.05","60",60,"6.093"
"0.05","60",70,"6.206"
"0.05","60",80,"6.302"
"0.05","60",90,"6.387"
"0.05","60",100,"6.462"
"0.05","120",38,"5.607"
"0.05","120",40,"5.644"
"0.05","120",50,"5.802"
"0.05","120",60,"5.929"
"0.05","120",70,"6.035"
"0.05","120",80,"6.126"
"0.05","120",90,"6.205"
"0.05","120",100,"6.275"
"0.05","Inf",38,"5.463"
"0.05","Inf",40,"5.498"
"0.05","Inf",50,"5.646"
"0.05","Inf",60,"5.764"
"0.05","Inf",70,"5.863"
"0.05","Inf",80,"5.947"
"0.05","Inf",90,"6.020"
"0.05","Inf",100,"6.085"
"0.025","1",2,"35.994"
"0.025","1",3,"54.002"
"0.025","1",4,"65.689"
"0.025","1",5,"74.215"
"0.025","1",6,"80.869"
"0.025","1",7,"86.292"
"0.025","1",8,"90.851"
"0.025","1",9,"94.770"
"0.025","1",10,"98.200"
"0.025","2",2,"8.776"
"0.025","2",3,"11.937"
"0.025","2",4,"14.009"
"0.025","2",5,"15.542"
"0.025","2",6,"16.750"
"0.025","2",7,"17.743"
"0.025","2",8,"18.582"
"0.025","2",9,"19.308"
"0.025","2",10,"19.946"
"0.025","3",2,"5.907"
"0.025","3",3,"7.661"
"0.025","3",4,"8.808"
"0.025","3",5,"9.660"
"0.025","3",6,"10.335"
"0.025","3",7,"10.892"
"0.025","3",8,"11.364"
"0.025","3",9,"11.774"
"0.025","3",10,"12.136"
"0.025","4",2,"4.943"
"0.025","4",3,"6.244"
"0.025","4",4,"7.088"
"0.025","4",5,"7.715"
"0.025","4",6,"8.213"
"0.025","4",7,"8.625"
"0.025","4",8,"8.975"
"0.025","4",9,"9.279"
"0.025","4",10,"9.548"
"0.025","5",2,"4.474"
"0.025","5",3,"5.558"
"0.025","5",4,"6.257"
"0.025","5",5,"6.775"
"0.025","5",6,"7.186"
"0.025","5",7,"7.526"
"0.025","5",8,"7.816"
"0.025","5",9,"8.068"
"0.025","5",10,"8.291"
"0.025","6",2,"4.198"
"0.025","6",3,"5.158"
"0.025","6",4,"5.772"
"0.025","6",5,"6.226"
"0.025","6",6,"6.586"
"0.025","6",7,"6.884"
"0.025","6",8,"7.138"
"0.025","6",9,"7.359"
"0.025","6",10,"7.554"
"0.025","7",2,"4.018"
"0.025","7",3,"4.897"
"0.025","7",4,"5.455"
"0.025","7",5,"5.867"
"0.025","7",6,"6.194"
"0.025","7",7,"6.464"
"0.025","7",8,"6.694"
"0.025","7",9,"6.894"
"0.025","7",10,"7.071"
"0.025","8",2,"3.891"
"0.025","8",3,"4.714"
"0.025","8",4,"5.233"
"0.025","8",5,"5.616"
"0.025","8",6,"5.919"
"0.025","8",7,"6.169"
"0.025","8",8,"6.382"
"0.025","8",9,"6.567"
"0.025","8",10,"6.731"
"0.025","9",2,"3.797"
"0.025","9",3,"4.578"
"0.025","9",4,"5.069"
"0.025","9",5,"5.430"
"0.025","9",6,"5.715"
"0.025","9",7,"5.950"
"0.025","9",8,"6.151"
"0.025","9",9,"6.325"
"0.025","9",10,"6.479"
"0.025","10",2,"3.725"
"0.025","10",3,"4.474"
"0.025","10",4,"4.943"
"0.025","10",5,"5.286"
"0.025","10",6,"5.558"
"0.025","10",7,"5.782"
"0.025","10",8,"5.972"
"0.025","10",9,"6.138"
"0.025","10",10,"6.284"
"0.025","11",2,"3.667"
"0.025","11",3,"4.391"
"0.025","11",4,"4.843"
"0.025","11",5,"5.173"
"0.025","11",6,"5.433"
"0.025","11",7,"5.648"
"0.025","11",8,"5.830"
"0.025","11",9,"5.989"
"0.025","11",10,"6.130"
"0.025","12",2,"3.620"
"0.025","12",3,"4.324"
"0.025","12",4,"4.761"
"0.025","12",5,"5.080"
"0.025","12",6,"5.332"
"0.025","12",7,"5.539"
"0.025","12",8,"5.715"
"0.025","12",9,"5.868"
"0.025","12",10,"6.004"
"0.025","13",2,"3.582"
"0.025","13",3,"4.269"
"0.025","13",4,"4.694"
"0.025","13",5,"5.004"
"0.025","13",6,"5.248"
"0.025","13",7,"5.449"
"0.025","13",8,"5.620"
"0.025","13",9,"5.768"
"0.025","13",10,"5.899"
"0.025","14",2,"3.549"
"0.025","14",3,"4.222"
"0.025","14",4,"4.638"
"0.025","14",5,"4.940"
"0.025","14",6,"5.178"
"0.025","14",7,"5.373"
"0.025","14",8,"5.540"
"0.025","14",9,"5.684"
"0.025","14",10,"5.812"
"0.025","15",2,"3.521"
"0.025","15",3,"4.182"
"0.025","15",4,"4.589"
"0.025","15",5,"4.885"
"0.025","15",6,"5.117"
"0.025","15",7,"5.309"
"0.025","15",8,"5.471"
"0.025","15",9,"5.612"
"0.025","15",10,"5.736"
"0.025","16",2,"3.497"
"0.025","16",3,"4.148"
"0.025","16",4,"4.548"
"0.025","16",5,"4.838"
"0.025","16",6,"5.065"
"0.025","16",7,"5.253"
"0.025","16",8,"5.412"
"0.025","16",9,"5.550"
"0.025","16",10,"5.671"
"0.025","17",2,"3.476"
"0.025","17",3,"4.118"
"0.025","17",4,"4.511"
"0.025","17",5,"4.797"
"0.025","17",6,"5.020"
"0.025","17",7,"5.204"
"0.025","17",8,"5.360"
"0.025","17",9,"5.495"
"0.025","17",10,"5.615"
"0.025","18",2,"3.458"
"0.025","18",3,"4.091"
"0.025","18",4,"4.479"
"0.025","18",5,"4.760"
"0.025","18",6,"4.980"
"0.025","18",7,"5.161"
"0.025","18",8,"5.315"
"0.025","18",9,"5.448"
"0.025","18",10,"5.565"
"0.025","19",2,"3.441"
"0.025","19",3,"4.068"
"0.025","19",4,"4.451"
"0.025","19",5,"4.728"
"0.025","19",6,"4.945"
"0.025","19",7,"5.123"
"0.025","19",8,"5.274"
"0.025","19",9,"5.405"
"0.025","19",10,"5.521"
"0.025","20",2,"3.427"
"0.025","20",3,"4.047"
"0.025","20",4,"4.426"
"0.025","20",5,"4.699"
"0.025","20",6,"4.914"
"0.025","20",7,"5.089"
"0.025","20",8,"5.238"
"0.025","20",9,"5.367"
"0.025","20",10,"5.481"
"0.025","24",2,"3.381"
"0.025","24",3,"3.982"
"0.025","24",4,"4.347"
"0.025","24",5,"4.610"
"0.025","24",6,"4.816"
"0.025","24",7,"4.984"
"0.025","24",8,"5.126"
"0.025","24",9,"5.250"
"0.025","24",10,"5.358"
"0.025","30",2,"3.337"
"0.025","30",3,"3.919"
"0.025","30",4,"4.271"
"0.025","30",5,"4.523"
"0.025","30",6,"4.720"
"0.025","30",7,"4.881"
"0.025","30",8,"5.017"
"0.025","30",9,"5.134"
"0.025","30",10,"5.238"
"0.025","40",2,"3.294"
"0.025","40",3,"3.858"
"0.025","40",4,"4.196"
"0.025","40",5,"4.439"
"0.025","40",6,"4.627"
"0.025","40",7,"4.780"
"0.025","40",8,"4.910"
"0.025","40",9,"5.022"
"0.025","40",10,"5.120"
"0.025","60",2,"3.251"
"0.025","60",3,"3.798"
"0.025","60",4,"4.124"
"0.025","60",5,"4.356"
"0.025","60",6,"4.536"
"0.025","60",7,"4.682"
"0.025","60",8,"4.806"
"0.025","60",9,"4.912"
"0.025","60",10,"5.006"
"0.025","120",2,"3.210"
"0.025","120",3,"3.739"
"0.025","120",4,"4.053"
"0.025","120",5,"4.275"
"0.025","120",6,"4.447"
"0.025","120",7,"4.587"
"0.025","120",8,"4.704"
"0.025","120",9,"4.805"
"0.025","120",10,"4.894"
"0.025","Inf",2,"3.170"
"0.025","Inf",3,"3.682"
"0.025","Inf",4,"3.984"
"0.025","Inf",5,"4.197"
"0.025","Inf",6,"4.361"
"0.025","Inf",7,"4.494"
"0.025","Inf",8,"4.605"
"0.025","Inf",9,"4.700"
"0.025","Inf",10,"4.784"
"0.025","1",11,"101.244"
"0.025","1",12,"103.975"
"0.025","1",13,"106.449"
"0.025","1",14,"108.708"
"0.025","1",15,"110.784"
"0.025","1",16,"112.704"
"0.025","1",17,"114.487"
"0.025","1",18,"116.153"
"0.025","1",19,"117.713"
"0.025","2",11,"20.513"
"0.025","2",12,"21.024"
"0.025","2",13,"21.488"
"0.025","2",14,"21.913"
"0.025","2",15,"22.304"
"0.025","2",16,"22.666"
"0.025","2",17,"23.003"
"0.025","2",18,"23.318"
"0.025","2",19,"23.614"
"0.025","3",11,"12.458"
"0.025","3",12,"12.749"
"0.025","3",13,"13.013"
"0.025","3",14,"13.255"
"0.025","3",15,"13.479"
"0.025","3",16,"13.686"
"0.025","3",17,"13.879"
"0.025","3",18,"14.060"
"0.025","3",19,"14.230"
"0.025","4",11,"9.788"
"0.025","4",12,"10.004"
"0.025","4",13,"10.202"
"0.025","4",14,"10.383"
"0.025","4",15,"10.550"
"0.025","4",16,"10.705"
"0.025","4",17,"10.850"
"0.025","4",18,"10.985"
"0.025","4",19,"11.112"
"0.025","5",11,"8.490"
"0.025","5",12,"8.670"
"0.025","5",13,"8.834"
"0.025","5",14,"8.984"
"0.025","5",15,"9.124"
"0.025","5",16,"9.253"
"0.025","5",17,"9.373"
"0.025","5",18,"9.486"
"0.025","5",19,"9.593"
"0.025","6",11,"7.729"
"0.025","6",12,"7.887"
"0.025","6",13,"8.031"
"0.025","6",14,"8.163"
"0.025","6",15,"8.285"
"0.025","6",16,"8.399"
"0.025","6",17,"8.505"
"0.025","6",18,"8.605"
"0.025","6",19,"8.698"
"0.025","7",11,"7.230"
"0.025","7",12,"7.373"
"0.025","7",13,"7.504"
"0.025","7",14,"7.624"
"0.025","7",15,"7.735"
"0.025","7",16,"7.838"
"0.025","7",17,"7.935"
"0.025","7",18,"8.025"
"0.025","7",19,"8.110"
"0.025","8",11,"6.878"
"0.025","8",12,"7.011"
"0.025","8",13,"7.132"
"0.025","8",14,"7.244"
"0.025","8",15,"7.347"
"0.025","8",16,"7.442"
"0.025","8",17,"7.532"
"0.025","8",18,"7.616"
"0.025","8",19,"7.694"
"0.025","9",11,"6.617"
"0.025","9",12,"6.742"
"0.025","9",13,"6.856"
"0.025","9",14,"6.961"
"0.025","9",15,"7.057"
"0.025","9",16,"7.148"
"0.025","9",17,"7.232"
"0.025","9",18,"7.311"
"0.025","9",19,"7.385"
"0.025","10",11,"6.415"
"0.025","10",12,"6.534"
"0.025","10",13,"6.642"
"0.025","10",14,"6.742"
"0.025","10",15,"6.834"
"0.025","10",16,"6.920"
"0.025","10",17,"7.000"
"0.025","10",18,"7.075"
"0.025","10",19,"7.145"
"0.025","11",11,"6.255"
"0.025","11",12,"6.369"
"0.025","11",13,"6.473"
"0.025","11",14,"6.568"
"0.025","11",15,"6.656"
"0.025","11",16,"6.738"
"0.025","11",17,"6.815"
"0.025","11",18,"6.887"
"0.025","11",19,"6.955"
"0.025","12",11,"6.125"
"0.025","12",12,"6.235"
"0.025","12",13,"6.335"
"0.025","12",14,"6.426"
"0.025","12",15,"6.511"
"0.025","12",16,"6.591"
"0.025","12",17,"6.664"
"0.025","12",18,"6.734"
"0.025","12",19,"6.799"
"0.025","13",11,"6.017"
"0.025","13",12,"6.123"
"0.025","13",13,"6.220"
"0.025","13",14,"6.309"
"0.025","13",15,"6.391"
"0.025","13",16,"6.468"
"0.025","13",17,"6.539"
"0.025","13",18,"6.606"
"0.025","13",19,"6.670"
"0.025","14",11,"5.926"
"0.025","14",12,"6.029"
"0.025","14",13,"6.123"
"0.025","14",14,"6.210"
"0.025","14",15,"6.290"
"0.025","14",16,"6.364"
"0.025","14",17,"6.434"
"0.025","14",18,"6.499"
"0.025","14",19,"6.560"
"0.025","15",11,"5.848"
"0.025","15",12,"5.948"
"0.025","15",13,"6.040"
"0.025","15",14,"6.125"
"0.025","15",15,"6.203"
"0.025","15",16,"6.275"
"0.025","15",17,"6.343"
"0.025","15",18,"6.407"
"0.025","15",19,"6.467"
"0.025","16",11,"5.780"
"0.025","16",12,"5.879"
"0.025","16",13,"5.969"
"0.025","16",14,"6.051"
"0.025","16",15,"6.128"
"0.025","16",16,"6.199"
"0.025","16",17,"6.265"
"0.025","16",18,"6.327"
"0.025","16",19,"6.386"
"0.025","17",11,"5.722"
"0.025","17",12,"5.818"
"0.025","17",13,"5.906"
"0.025","17",14,"5.987"
"0.025","17",15,"6.062"
"0.025","17",16,"6.132"
"0.025","17",17,"6.197"
"0.025","17",18,"6.258"
"0.025","17",19,"6.315"
"0.025","18",11,"5.670"
"0.025","18",12,"5.765"
"0.025","18",13,"5.851"
"0.025","18",14,"5.931"
"0.025","18",15,"6.004"
"0.025","18",16,"6.073"
"0.025","18",17,"6.137"
"0.025","18",18,"6.196"
"0.025","18",19,"6.253"
"0.025","19",11,"5.624"
"0.025","19",12,"5.717"
"0.025","19",13,"5.803"
"0.025","19",14,"5.881"
"0.025","19",15,"5.953"
"0.025","19",16,"6.020"
"0.025","19",17,"6.083"
"0.025","19",18,"6.142"
"0.025","19",19,"6.197"
"0.025","20",11,"5.583"
"0.025","20",12,"5.675"
"0.025","20",13,"5.759"
"0.025","20",14,"5.836"
"0.025","20",15,"5.907"
"0.025","20",16,"5.974"
"0.025","20",17,"6.035"
"0.025","20",18,"6.093"
"0.025","20",19,"6.148"
"0.025","24",11,"5.455"
"0.025","24",12,"5.543"
"0.025","24",13,"5.623"
"0.025","24",14,"5.696"
"0.025","24",15,"5.764"
"0.025","24",16,"5.827"
"0.025","24",17,"5.886"
"0.025","24",18,"5.941"
"0.025","24",19,"5.993"
"0.025","30",11,"5.330"
"0.025","30",12,"5.414"
"0.025","30",13,"5.490"
"0.025","30",14,"5.560"
"0.025","30",15,"5.624"
"0.025","30",16,"5.684"
"0.025","30",17,"5.740"
"0.025","30",18,"5.792"
"0.025","30",19,"5.841"
"0.025","40",11,"5.208"
"0.025","40",12,"5.287"
"0.025","40",13,"5.360"
"0.025","40",14,"5.426"
"0.025","40",15,"5.487"
"0.025","40",16,"5.543"
"0.025","40",17,"5.596"
"0.025","40",18,"5.646"
"0.025","40",19,"5.692"
"0.025","60",11,"5.089"
"0.025","60",12,"5.164"
"0.025","60",13,"5.232"
"0.025","60",14,"5.295"
"0.025","60",15,"5.352"
"0.025","60",16,"5.406"
"0.025","60",17,"5.456"
"0.025","60",18,"5.502"
"0.025","60",19,"5.546"
"0.025","120",11,"4.972"
"0.025","120",12,"5.043"
"0.025","120",13,"5.107"
"0.025","120",14,"5.166"
"0.025","120",15,"5.221"
"0.025","120",16,"5.271"
"0.025","120",17,"5.318"
"0.025","120",18,"5.362"
"0.025","120",19,"5.403"
"0.025","Inf",11,"4.858"
"0.025","Inf",12,"4.925"
"0.025","Inf",13,"4.985"
"0.025","Inf",14,"5.041"
"0.025","Inf",15,"5.092"
"0.025","Inf",16,"5.139"
"0.025","Inf",17,"5.183"
"0.025","Inf",18,"5.224"
"0.025","Inf",19,"5.262"
"0.025","1",20,"119.181"
"0.025","1",22,"121.875"
"0.025","1",24,"124.299"
"0.025","1",26,"126.500"
"0.025","1",28,"128.513"
"0.025","1",30,"130.368"
"0.025","1",32,"132.085"
"0.025","1",34,"133.683"
"0.025","1",36,"135.178"
"0.025","2",20,"23.892"
"0.025","2",22,"24.404"
"0.025","2",24,"24.865"
"0.025","2",26,"25.285"
"0.025","2",28,"25.669"
"0.025","2",30,"26.023"
"0.025","2",32,"26.352"
"0.025","2",34,"26.658"
"0.025","2",36,"26.944"
"0.025","3",20,"14.390"
"0.025","3",22,"14.684"
"0.025","3",24,"14.950"
"0.025","3",26,"15.192"
"0.025","3",28,"15.414"
"0.025","3",30,"15.619"
"0.025","3",32,"15.809"
"0.025","3",34,"15.986"
"0.025","3",36,"16.152"
"0.025","4",20,"11.232"
"0.025","4",22,"11.454"
"0.025","4",24,"11.653"
"0.025","4",26,"11.836"
"0.025","4",28,"12.003"
"0.025","4",30,"12.157"
"0.025","4",32,"12.300"
"0.025","4",34,"12.434"
"0.025","4",36,"12.559"
"0.025","5",20,"9.693"
"0.025","5",22,"9.878"
"0.025","5",24,"10.045"
"0.025","5",26,"10.197"
"0.025","5",28,"10.337"
"0.025","5",30,"10.466"
"0.025","5",32,"10.586"
"0.025","5",34,"10.698"
"0.025","5",36,"10.803"
"0.025","6",20,"8.787"
"0.025","6",22,"8.949"
"0.025","6",24,"9.097"
"0.025","6",26,"9.231"
"0.025","6",28,"9.355"
"0.025","6",30,"9.469"
"0.025","6",32,"9.575"
"0.025","6",34,"9.674"
"0.025","6",36,"9.767"
"0.025","7",20,"8.191"
"0.025","7",22,"8.339"
"0.025","7",24,"8.473"
"0.025","7",26,"8.595"
"0.025","7",28,"8.708"
"0.025","7",30,"8.812"
"0.025","7",32,"8.909"
"0.025","7",34,"8.999"
"0.025","7",36,"9.084"
"0.025","8",20,"7.769"
"0.025","8",22,"7.907"
"0.025","8",24,"8.031"
"0.025","8",26,"8.145"
"0.025","8",28,"8.249"
"0.025","8",30,"8.346"
"0.025","8",32,"8.436"
"0.025","8",34,"8.520"
"0.025","8",36,"8.599"
"0.025","9",20,"7.455"
"0.025","9",22,"7.584"
"0.025","9",24,"7.702"
"0.025","9",26,"7.809"
"0.025","9",28,"7.907"
"0.025","9",30,"7.999"
"0.025","9",32,"8.083"
"0.025","9",34,"8.162"
"0.025","9",36,"8.237"
"0.025","10",20,"7.212"
"0.025","10",22,"7.335"
"0.025","10",24,"7.447"
"0.025","10",26,"7.549"
"0.025","10",28,"7.642"
"0.025","10",30,"7.729"
"0.025","10",32,"7.810"
"0.025","10",34,"7.885"
"0.025","10",36,"7.956"
"0.025","11",20,"7.018"
"0.025","11",22,"7.136"
"0.025","11",24,"7.243"
"0.025","11",26,"7.341"
"0.025","11",28,"7.431"
"0.025","11",30,"7.514"
"0.025","11",32,"7.591"
"0.025","11",34,"7.664"
"0.025","11",36,"7.732"
"0.025","12",20,"6.860"
"0.025","12",22,"6.974"
"0.025","12",24,"7.077"
"0.025","12",26,"7.171"
"0.025","12",28,"7.258"
"0.025","12",30,"7.338"
"0.025","12",32,"7.413"
"0.025","12",34,"7.483"
"0.025","12",36,"7.548"
"0.025","13",20,"6.729"
"0.025","13",22,"6.839"
"0.025","13",24,"6.939"
"0.025","13",26,"7.030"
"0.025","13",28,"7.114"
"0.025","13",30,"7.192"
"0.025","13",32,"7.264"
"0.025","13",34,"7.332"
"0.025","13",36,"7.395"
"0.025","14",20,"6.618"
"0.025","14",22,"6.725"
"0.025","14",24,"6.822"
"0.025","14",26,"6.911"
"0.025","14",28,"6.993"
"0.025","14",30,"7.068"
"0.025","14",32,"7.139"
"0.025","14",34,"7.204"
"0.025","14",36,"7.266"
"0.025","15",20,"6.523"
"0.025","15",22,"6.628"
"0.025","15",24,"6.722"
"0.025","15",26,"6.809"
"0.025","15",28,"6.889"
"0.025","15",30,"6.962"
"0.025","15",32,"7.031"
"0.025","15",34,"7.095"
"0.025","15",36,"7.155"
"0.025","16",20,"6.441"
"0.025","16",22,"6.543"
"0.025","16",24,"6.636"
"0.025","16",26,"6.720"
"0.025","16",28,"6.798"
"0.025","16",30,"6.870"
"0.025","16",32,"6.937"
"0.025","16",34,"7.000"
"0.025","16",36,"7.059"
"0.025","17",20,"6.369"
"0.025","17",22,"6.469"
"0.025","17",24,"6.560"
"0.025","17",26,"6.643"
"0.025","17",28,"6.719"
"0.025","17",30,"6.790"
"0.025","17",32,"6.856"
"0.025","17",34,"6.917"
"0.025","17",36,"6.975"
"0.025","18",20,"6.306"
"0.025","18",22,"6.404"
"0.025","18",24,"6.493"
"0.025","18",26,"6.575"
"0.025","18",28,"6.650"
"0.025","18",30,"6.719"
"0.025","18",32,"6.783"
"0.025","18",34,"6.844"
"0.025","18",36,"6.900"
"0.025","19",20,"6.250"
"0.025","19",22,"6.346"
"0.025","19",24,"6.434"
"0.025","19",26,"6.514"
"0.025","19",28,"6.588"
"0.025","19",30,"6.656"
"0.025","19",32,"6.719"
"0.025","19",34,"6.779"
"0.025","19",36,"6.834"
"0.025","20",20,"6.199"
"0.025","20",22,"6.295"
"0.025","20",24,"6.381"
"0.025","20",26,"6.460"
"0.025","20",28,"6.532"
"0.025","20",30,"6.599"
"0.025","20",32,"6.662"
"0.025","20",34,"6.720"
"0.025","20",36,"6.775"
"0.025","24",20,"6.042"
"0.025","24",22,"6.133"
"0.025","24",24,"6.215"
"0.025","24",26,"6.290"
"0.025","24",28,"6.359"
"0.025","24",30,"6.422"
"0.025","24",32,"6.482"
"0.025","24",34,"6.537"
"0.025","24",36,"6.589"
"0.025","30",20,"5.888"
"0.025","30",22,"5.974"
"0.025","30",24,"6.052"
"0.025","30",26,"6.123"
"0.025","30",28,"6.188"
"0.025","30",30,"6.248"
"0.025","30",32,"6.305"
"0.025","30",34,"6.357"
"0.025","30",36,"6.406"
"0.025","40",20,"5.736"
"0.025","40",22,"5.818"
"0.025","40",24,"5.891"
"0.025","40",26,"5.958"
"0.025","40",28,"6.020"
"0.025","40",30,"6.077"
"0.025","40",32,"6.130"
