treatment,t_h,E_umol,R_umol,G_umol,exported_umol,B_units,U_umol_h,A_umol_h
depleted,0.0,20.0,1.0,10.0,0.0,1.0,3.4224598930481283,0.2333333333333333
depleted,0.02,19.931803196589815,1.0634322666324048,10.004764536777781,0.0,1.0004764536777782,3.397085805790678,0.2430364388637271
depleted,0.04,19.864121605613917,1.126160169791865,10.009718224594216,0.0,1.0009718224594217,3.370955909827691,0.25225448546995155
depleted,0.06,19.79696932134415,1.1881789645831207,10.01485171407273,0.0,1.001485171407273,3.3441716932962433,0.26102211133608677
depleted,0.08,19.730358451958736,1.2494852307430546,10.020156317298209,0.0,1.002015631729821,3.3168302039978332,0.26937088363795997
depleted,0.1,19.664299212383092,1.3100768378285426,10.025623949788368,0.0,1.002562394978837,3.28902366421497,0.27732962990601784
depleted,0.12,19.59880002376963,1.3699528975802795,10.03124707865009,0.0,1.003124707865009,3.2608391908588166,0.2849247263202787
depleted,0.14,19.533867617588477,1.4291137062859194,10.037018676125607,0.0,1.0037018676125606,3.2323586117735608,0.29218034952833627
depleted,0.16,19.469507142525245,1.4875606796163283,10.042932177858429,0.0,1.0042932177858428,3.2036583681544726,0.29911869742708636
depleted,0.18,19.40572227254782,1.5452962821509424,10.048981445301242,0.0,1.0048981445301242,3.174809492590571,0.30576018342825123
depleted,0.2,19.342515314748532,1.6023239534747244,10.055160731776748,0.0,1.0055160731776749,3.1458776522371332,0.3121236079700366
depleted,0.22,19.279887315752294,1.6586480324805415,10.061464651767166,0.0,1.0061464651767165,3.116923246892088,0.31822631042668237
depleted,0.24,19.217838165701664,1.7142736812290433,10.067888153069294,0.0,1.0067888153069293,3.0880015522875937,0.3240843040620765
depleted,0.26,19.156366698994745,1.7692068095080504,10.074426491497206,0.0,1.0074426491497206,3.0591628995856084,0.32971239626301213
depleted,0.28,19.09547079114261,1.823454000998561,10.08107520785883,0.0,1.0081075207858832,3.030452882882558,0.3351242959440723
depleted,0.3,19.03514745125655,1.8770224417777497,10.087830106965704,0.0,1.0087830106965705,3.001912587383204,0.34033270973486957
depleted,0.32,18.97539290982209,1.9299198517116267,10.094687238466284,0.0,1.0094687238466284,2.973578831792312,0.34534942832425225
depleted,0.34,18.91620270152826,1.9821544191543514,10.101642879317389,0.0,1.010164287931739,2.9454844193357066,0.3501854041408163
depleted,0.36,18.85757174303119,2.033734739237538,10.108693517731272,0.0,1.010869351773127,2.9176583926599378,0.35485082138381524
depleted,0.38,18.799494405614517,2.084669755931245,10.115835838454238,0.0,1.011583583845424,2.8901262886357455,0.3593551592807019
depleted,0.4,18.74196458278269,2.134968707968185,10.123066709249128,0.0,1.0123066709249129,2.8629103898054926,0.3637072493306596
depleted,0.42,18.68497575288084,2.1846410786511092,10.130383168468054,0.0,1.0130383168468053,2.836029969857525,0.36791532719468806
depleted,0.44,18.628521036882326,2.2336965495034344,10.137782413614241,0.0,1.013778241361424,2.8095015310818963,0.3719870798086174
depleted,0.46,18.572593251521184,2.28214495767609,10.14526179080273,0.0,1.0145261790802729,2.783339032261334,0.37592968822360384
depleted,0.48,18.517184957971352,2.3299962569898507,10.1528187850388,0.0,1.01528187850388,2.75755410587994,0.37974986661735516
depleted,0.5,18.462288506295543,2.3772604824627788,10.160451011241681,0.0,1.0160451011241682,2.7321562638996624,0.3834538978662438
depleted,0.52,18.407896075896367,2.4239477181554943,10.16815620594814,0.0,1.016815620594814,2.707153091659512,0.38704766602304497
depleted,0.54,18.353999712210843,2.470068068151791,10.17593221963737,0.0,1.017593221963737,2.6825504297072995,0.3905366860053812
depleted,0.56,18.30059135988798,2.515631630488076,10.183777009623945,0.0,1.0183777009623944,2.6583525435770263,0.39392613076591115
depleted,0.58,18.24766289269074,2.560648473838188,10.191688633471072,0.0,1.0191688633471072,2.63456228169157,0.39722085618516056
depleted,0.6,18.19520614035565,2.605128616763659,10.199665242880691,0.0,1.019966524288069,2.6111812216962247,0.40042542390201114
depleted,0.62,18.143212912638912,2.649082009339833,10.207705078021258,0.0,1.0207705078021259,2.5882098056275096,0.4035441222737937
depleted,0.64,18.091675020765965,2.6925185169766412,10.215806462257397,0.0,1.0215806462257397,2.5656474643905613,0.4065809856380371
depleted,0.66,18.040584296494764,2.735447906256086,10.223967797249152,0.0,1.0223967797249152,2.543492732069779,0.4095398120299636
depleted,0.68,17.98993260898945,2.777879832619291,10.232187558391264,0.0,1.0232187558391264,2.521743350626634,0.41242417949435867
depleted,0.7000000000000001,17.93971187969199,2.8198238297422633,10.240464290565747,0.0,1.0240464290565747,2.5003963655563695,0.41523746111642107
depleted,0.72,17.889914095365665,2.861289300451185,10.248796604183154,0.0,1.0248796604183155,2.4794482130782627,0.4179828388840496
depleted,0.74,17.84053131947508,2.902285509034631,10.257183171490292,0.0,1.0257183171490292,2.458894799430943,0.42066331648290034
depleted,0.76,17.79155570205431,2.9428215748217794,10.265622723123913,0.0,1.0265622723123913,2.4387315728307812,0.42328173111593587
depleted,0.78,17.742979488205066,2.9829064669031657,10.274114044891771,0.0,1.0274114044891771,2.418953588634817,0.4258407644303582
depleted,0.8,17.694795025354722,3.0225489998813826,10.282655974763898,0.0,1.02826559747639,2.3995555682269933,0.4283429526271383
depleted,0.8200000000000001,17.646994769395647,3.0617578305458863,10.291247400058472,0.0,1.0291247400058472,2.38053195212321,0.4307906958212488
depleted,0.84,17.59957128981603,3.100541455376052,10.29988725480792,0.0,1.029988725480792,2.3618769477635433,0.43318626671453925
depleted,0.86,17.55251727392462,3.1389082087832785,10.308574517292104,0.0,1.0308574517292104,2.3435845724334583,0.4355318186374844
depleted,0.88,17.505825530261895,3.1768662620117003,10.317308207726407,0.0,1.0317308207726408,2.3256486917275034,0.4378293930110402
depleted,0.9,17.459488991283568,3.2144236226227307,10.326087386093704,0.0,1.0326087386093703,2.308063053942364,0.44008092627519696
depleted,0.92,17.41350071539376,3.251588134496354,10.334911150109889,0.0,1.033491115010989,2.290821320758466,0.4422882563267606
depleted,0.9400000000000001,17.367853888399036,3.2883674782873618,10.343778633313606,0.0,1.0343778633313607,2.273917094543726,0.44445312850512214
depleted,0.96,17.322541824447327,3.3247691722812274,10.352689003271449,0.0,1.035268900327145,2.257343942587447,0.44657720116145483
depleted,0.98,17.277557966510663,3.360800573598672,10.361641459890668,0.0,1.036164145989067,2.241095418548879,0.44866205084368327
depleted,1.0,17.23289588646449,3.3964688797035474,10.370635233831967,0.0,1.0370635233831966,2.2251650813818666,0.45070917712684144
depleted,1.02,17.188549284811803,3.4317811301725882,10.37966958501561,0.0,1.0379669585015612,2.2095465119759323,0.45272000711591215
depleted,1.04,17.144511990095342,3.4667442086901565,10.388743801214503,0.0,1.0388743801214502,2.1942333277337687,0.45469589964598045
depleted,1.06,17.100777958037256,3.501364845234308,10.39785719672844,0.0,1.039785719672844,2.179219195286744,0.4566381492024498
depleted,1.08,17.05734127044147,3.5356496184243915,10.407009111134144,0.0,1.0407009111134145,2.164497841532284,0.4585479895822044
depleted,1.1,17.01419613389076,3.569604958003151,10.416198908106091,0.0,1.0416198908106091,2.1500630631610695,0.4604265973148815
depleted,1.12,16.97133687826701,3.603237147429479,10.425425974303513,0.0,1.0425425974303513,2.1359087348268497,0.4622750948618652
depleted,1.1400000000000001,16.928757955120517,3.636552326560194,10.43468971831929,0.0,1.043468971831929,2.1220288160980556,0.46409455360918456
depleted,1.16,16.88645393591138,3.669556494401851,10.44398956968677,0.0,1.0443989569686771,2.108417357317569,0.46588599666920993
