"","dist","bio","augMean","febRange","febSD","augSD","annMean","Y","Y1","Y2"
"1",0,"BMP",0,0,0,0,0,0,0,0
"2",51.138,"BMP",0.0574136864590853,0.0988440374080892,0.16295271015125,0.313279960547441,0.015018457841198,0.0036101083032491,0,0.0036101083032491
"3",104.443,"BMP",0.150439036751512,0.348877543665011,0.0993416271389727,0.418823900140219,0.0260224657788553,0.0036101083032491,0,0.0036101083032491
"4",153.042,"BMP",0.203224406133163,0.557654418138262,0.0407209950775299,0.415258787133235,0.0513417003270498,0.00719424460431655,0,0.00719424460431655
"5",207.386,"BMP",0.169908895966152,0.596480755686345,0.138250543881239,0.45110735021301,0.110354710028747,0.0249110320284698,0.0072463768115942,0.0176646552168756
"6",253.246,"BMP",0.0821310615916158,0.506493762396344,0.158074739825512,0.505360194395827,0.141115516005539,0.0391459074733096,0.0217391304347826,0.017406777038527
"7",305.606,"BMP",0.0348456981525511,0.303050615876894,0.0736514012545942,0.510446933484669,0.0441756743440864,0.0391459074733096,0.0217391304347826,0.017406777038527
"8",359.799,"BMP",0.178273635798197,0.0726925078658308,0.282143037072695,0.333584485598151,0.153832305075847,0.0459363957597173,0.0217391304347826,0.0241972653249347
"9",409.263,"BMP",0.311955074237084,0.494379322225289,0.880725126441191,1.4987644975207,0.166425830347032,0.0592334494773519,0.0217391304347826,0.0374943190425693
"10",457.857,"BMP",0.574860296104519,0.00233026935458422,0.607268003697695,0.0871741486193033,0.932150623686574,0.0629370629370629,0.0289855072463768,0.0339515556906861
"11",503.843,"BMP",0.567375429009599,0.658933647882127,0.237209284708317,0.271949317552622,0.113341623349708,0.0976430976430976,0.0289855072463768,0.0686575903967208
"12",540.261,"BMP",0.608448567827835,0.804869636611826,0.370873546084147,0.300466298983001,1.1346816861684,0.106666666666667,0.0289855072463768,0.0776811594202899
"13",546.71,"BMP",0.59139253996844,0.75693066966988,0.325122953213406,0.362282750443906,0.808882956090565,0.225433526011561,0.0289855072463768,0.196448018765184
"14",602.849,"BMP",0.520537164749336,0.280049803292271,0.249034986896761,0.698887881184997,0.194548751764636,0.0736842105263158,0.0434782608695652,0.0302059496567506
"15",648.928,"BMP",0.487596842295914,0.406297787065979,0.108091979873133,1.34315470781653,0.372812531378638,0.150326797385621,0.0579710144927536,0.0923557828928673
"16",696.426,"BMP",0.685819612616934,0.033772303734886,0.294758123512196,0.684486633902285,0.506223527321734,0.251461988304094,0.072463768115942,0.178998220188152
"59",51.138,"BMP",0.0574136864590853,0.0988440374080892,0.16295271015125,0.313279960547441,0.015018457841198,0.0036101083032491,0,0.0036101083032491
"60",0,"BMP",0,0,0,0,0,0,0,0
"61",53.305,"BMP",0.0930253502924265,0.250033506256922,0.0636110830122769,0.105543939592778,0.0410409236200533,0,0,0
"62",101.904,"BMP",0.145810719674078,0.458810380730173,0.203673705228779,0.101978826585794,0.0663601581682478,0.003584229390681,0,0.003584229390681
"63",156.248,"BMP",0.112495209507067,0.497636718278256,0.301203254032488,0.137827389665569,0.125373167869945,0.0212765957446809,0.00719424460431655,0.0140823511403643
"64",202.108,"BMP",0.0247173751325305,0.407649724988255,0.321027449976761,0.192080233848386,0.156133973846737,0.0354609929078014,0.0215827338129496,0.0138782590948518
"65",254.468,"BMP",0.0922593846116364,0.204206578468805,0.236604111405844,0.197166972937228,0.0591941321852845,0.0354609929078014,0.0215827338129496,0.0138782590948518
"66",308.661,"BMP",0.235687322257282,0.17153654527392,0.119190326921445,0.0203045250507098,0.138813847234649,0.0422535211267606,0.0215827338129496,0.0206707873138109
"67",358.125,"BMP",0.36936876069617,0.593223359633378,0.717772416289942,1.18548453697326,0.151407372505834,0.0555555555555556,0.0215827338129496,0.0339728217426059
"68",406.719,"BMP",0.632273982563604,0.096513768053505,0.444315293546446,0.226105811928138,0.917132165845376,0.0592334494773519,0.0287769784172662,0.0304564710600857
"69",452.705,"BMP",0.624789115468684,0.560089610474038,0.400161994859567,0.0413306429948189,0.0983231655085102,0.0939597315436242,0.0287769784172662,0.065182753126358
"70",489.123,"BMP",0.66586225428692,0.706025599203737,0.533826256235396,0.0128136615644402,1.1196632283272,0.102990033222591,0.0287769784172662,0.0742130548053252
"71",495.572,"BMP",0.648806226427526,0.658086632261791,0.488075663364655,0.0490027898964655,0.793864498249367,0.221902017291066,0.0287769784172662,0.1931250388738
"72",551.711,"BMP",0.577950851208421,0.181205765884182,0.0860822767455115,0.385607920637556,0.179530293923438,0.0769230769230769,0.0503597122302158,0.0265633646928611
"73",597.79,"BMP",0.545010528755,0.30745374965789,0.0548607302781165,1.02987474726909,0.35779407353744,0.153094462540717,0.0647482014388489,0.0883462611018677
"74",645.288,"BMP",0.743233299076019,0.0650717336732032,0.131805413360946,0.371206673354844,0.491205069480536,0.253644314868805,0.079136690647482,0.174507624221323
"117",104.443,"BMP",0.150439036751512,0.348877543665011,0.0993416271389727,0.418823900140219,0.0260224657788553,0.0036101083032491,0,0.0036101083032491
"118",53.305,"BMP",0.0930253502924265,0.250033506256922,0.0636110830122769,0.105543939592778,0.0410409236200533,0,0,0
"119",0,"BMP",0,0,0,0,0,0,0,0
"120",48.599,"BMP",0.0527853693816516,0.208776874473251,0.140062622216503,0.00356511300698347,0.0253192345481945,0.003584229390681,0,0.003584229390681
"121",102.943,"BMP",0.0194698592146401,0.247603212021334,0.237592171020211,0.0322834500727915,0.0843322442498917,0.0212765957446809,0.00719424460431655,0.0140823511403643
