lon,lat,date
-25.5798,37.6973,2017-03-24T10:38:00Z
-28.137617,38.730783,2015-06-12T00:00:00Z
-28.5777,38.5977,2018-03-27T16:43:00Z
-28.578806,38.526597,2008-05-08T13:54:56Z
-26.745557,37.654559,1998-01-01T00:00:00Z
-25.761972,37.95433,1998-01-01T00:00:00Z
-28.6287,38.4363,2016-05-01T10:25:00Z
-25.4218,37.6278,2020-01-24T11:10:00Z
-28.4098,38.3242,2014-05-03T18:41:00Z
-28.2659,38.3607,2017-04-08T09:20:00Z
-25.6647,37.7117,2016-06-03T13:44:00Z
-28.725754,38.303145,1998-01-01T00:00:00Z
-28.3661,38.3807,2018-05-11T16:40:00Z
-26.713095,38.456421,1998-01-01T00:00:00Z
-28.5254,38.4302,2017-05-11T16:23:00Z
-25.6846,37.6836,2016-04-21T09:38:00Z
-27.327438,38.598811,1998-01-01T00:00:00Z
-28.6688,38.4179,2014-07-12T09:24:00Z
-25.349,37.7043,2016-05-05T10:50:00Z
-25.6225,37.6559,2014-06-29T09:24:00Z
-25.726,37.6648,2019-04-20T10:03:00Z
-25.005725,37.078174,1998-01-01T00:00:00Z
-28.5248,38.4301,2017-06-02T12:00:00Z
-28.5891,38.6138,2017-07-02T10:18:00Z
-28.2632,38.3357,2017-04-05T10:22:00Z
-28.2292,38.3369,2018-05-18T15:16:00Z
-25.3601,37.6029,2019-05-04T11:10:00Z
-25.100163,37.921093,1998-01-01T00:00:00Z
-25.2377,37.5847,2019-05-19T10:36:00Z
-28.584328,38.689118,2016-03-07T12:12:27Z
-25.8552,37.7638,2018-05-25T16:40:00Z
-28.578806,38.526597,2004-05-11T00:00:00Z
-25.6015,37.6757,2016-07-10T10:42:00Z
-23.86771,37.76251,2017-07-08T00:00:00Z
-28.2271,38.3166,2018-06-02T15:45:00Z
-28.2452,38.3691,2017-04-06T09:16:00Z
-27.2457,38.5976,2015-05-30T10:08:00Z
-25.5542,37.7161,2018-05-17T09:52:00Z
-25.4722,37.6787,2015-05-26T14:25:00Z
-28.5148,38.4097,2018-05-13T10:04:00Z
-28.060444,38.092368,1998-01-01T00:00:00Z
-26.064714,38.0297,1998-01-01T00:00:00Z
-28.2233,38.2977,2018-05-31T10:17:00Z
-25.5864,37.6014,2018-05-09T15:20:00Z
-27.941691,38.936617,1998-01-01T00:00:00Z
-28.6175,38.5162,2017-04-03T14:31:00Z
-28.1601,38.3483,2018-06-02T09:31:00Z
-28.6999,38.4233,2016-04-30T11:04:00Z
-25.5451,37.6781,2019-05-10T10:05:00Z
-27.47657,38.833782,1998-01-01T00:00:00Z
-28.55,38.68,2016-03-07T15:07:00Z
-28.5191,38.4356,2014-07-15T09:47:00Z
-25.7475,37.7122,2017-05-30T09:50:00Z
-25.6332,37.6401,2016-05-02T10:34:00Z
-28.6371,38.4883,2017-06-11T18:14:00Z
-25.7038,37.6429,2019-04-20T10:28:00Z
-28.5313,38.6525,2016-03-08T10:27:00Z
-28.1601,38.3483,2018-06-02T09:31:00Z
-27.2882,38.4828,2018-01-29T11:20:00Z
-25.3477,37.554,2017-03-23T10:08:00Z
-25.6743,37.6253,2019-05-29T12:23:00Z
-28.664457,38.634698,2022-04-02T09:46:12Z
-25.3122,37.7107,2015-05-18T10:45:00Z
-28.6496,38.4083,2014-07-12T10:05:00Z
-28.2382,38.3789,2012-05-06T12:54:00Z
-25.6816,37.6466,2017-05-29T10:25:00Z
-28.4839,38.6783,2016-03-07T16:35:00Z
-28.633333,38.383333,2003-05-19T00:00:00Z
-25.876,37.7553,2018-05-12T15:10:00Z
-25.8715,37.8351,2019-03-15T11:06:00Z
-28.5471,38.3998,2016-04-28T10:15:00Z
-28.1911,38.3721,2018-05-29T10:02:00Z
-29.349685,39.42898,1998-01-01T00:00:00Z
-28.584,38.3194,2017-03-25T16:26:00Z
-28.6214,38.4811,2018-05-29T16:08:00Z
-28.6034,38.5222,2016-04-30T09:31:00Z
-28.595,38.6292,2017-05-20T09:13:00Z
-28.4876,38.3579,2015-06-18T16:49:00Z
-25.4614,37.6363,2017-04-16T14:21:00Z
-25.5648,37.6533,2011-04-01T10:17:00Z
-28.6537,38.4676,2017-04-11T10:15:00Z
-28.251892,38.381794,2018-06-02T06:28:54Z
-25.8888,37.6116,2019-10-14T16:22:00Z
-28.301,38.351,2014-04-18T00:00:00Z
-28.666667,38.45,2003-05-21T00:00:00Z
-28.619041,38.466869,2014-05-15T10:30:05Z
-28.0166,38.2301,2017-07-04T15:31:00Z
-28.3884,38.4017,2014-05-16T10:26:00Z
-28.524668,38.374998,2015-03-24T11:14:52Z
-28.5254,38.4302,2017-05-11T16:23:00Z
-28.1601,38.3483,2018-06-02T09:31:00Z
-26.713103,38.456408,1998-01-01T00:00:00Z
-28.584,38.3194,2017-03-25T16:26:00Z
-28.2233,38.2977,2018-05-31T10:17:00Z
-28.6862,38.4553,2014-07-05T15:35:00Z
-25.6743,37.6253,2019-05-29T12:23:00Z
-28.578806,38.526597,2014-05-23T16:28:15Z
-25.4334,37.6172,2012-10-19T10:48:00Z
-28.6862,38.4553,2014-07-05T15:35:00Z
-26.7081,37.64754,2008-01-01T00:00:00Z
-27.94284,38.46878,2004-01-01T00:00:00Z
-28.55,38.68,2016-03-07T15:07:00Z
-25.4238,37.6987,2018-05-28T13:35:00Z
-25.4938,37.6775,2019-04-17T09:40:00Z
-25.6622,37.688,2020-03-12T10:00:00Z
-25.8715,37.8351,2019-03-15T11:06:00Z
-25.6225,37.6559,2014-06-29T09:24:00Z
-28.6688,38.4179,2014-07-12T09:51:00Z
-25.5542,37.7161,2018-05-17T09:58:00Z
-28.578806,38.526597,2014-05-09T11:59:11Z
-28.4859,38.4164,2018-04-27T15:18:00Z
-28.6151,38.6644,2018-03-29T17:04:00Z
-29.158817,38.72315,2014-05-15T00:00:00Z
-28.5798,38.4317,2016-05-21T10:13:00Z
-25.8552,37.7638,2018-05-25T16:40:00Z
-28.5961,38.6508,2018-04-23T10:50:00Z
-28.015817,38.293467,2014-07-02T00:00:00Z
-25.7046,37.6927,2016-04-21T14:53:00Z
-28.4098,38.3242,2014-05-03T18:41:00Z
-25.3639,37.685,2010-05-22T16:08:00Z
-25.5524,37.7176,2018-05-17T10:08:00Z
-28.6034,38.5222,2016-04-30T09:24:00Z
-28.701842,38.500817,2018-05-07T09:53:09Z
-28.7378,38.4192,2018-05-08T17:13:00Z
-28.2849,38.3045,2017-06-03T14:21:00Z
-28.5202,38.4105,2014-07-01T10:40:00Z
-27.2761,38.5915,2017-04-15T11:08:00Z
-25.9048,37.749,2018-05-16T10:59:00Z
-28.3986,38.4073,2014-05-16T09:44:00Z
-25.5006,37.7001,2018-05-28T15:00:00Z
-28.5798,38.4317,2016-05-21T10:13:00Z
-28.5923,38.5068,2016-05-02T09:26:00Z
-28.6168,38.4501,2016-05-01T09:41:00Z
-25.5764,37.7026,2017-03-24T14:34:00Z
-28.159218,38.392657,2017-07-04T00:00:00Z
-25.2812,37.6767,2020-01-26T09:51:00Z
-26.705526,38.656725,1998-01-01T00:00:00Z
-27.625795,38.45979,2010-05-24T10:58:00Z
-28.422867,38.409267,2018-04-27T11:46:21Z
-25.7038,37.6429,2019-04-20T10:28:00Z
-28.301,38.351,2014-04-18T00:00:00Z
-28.5254,38.4302,2017-05-11T16:23:00Z
-28.1875,38.3266,2018-04-10T15:54:00Z
-28.5254,38.4302,2017-05-11T16:23:00Z
-28.5964,38.3812,2016-03-24T15:33:00Z
-25.3696,37.699,2016-03-07T09:30:00Z
-28.931295,38.41299,1998-01-01T00:00:00Z
-28.578806,38.526597,2004-04-10T00:00:00Z
-28.2978,38.3894,2017-06-02T09:10:00Z
-25.624,37.7039,2016-04-16T11:34:00Z
-25.566667,37.316667,1999-06-22T00:00:00Z
-28.6702,38.4097,2014-07-13T17:49:00Z
-25.8742,37.7022,2018-05-07T15:30:00Z
-25.7475,37.7122,2017-05-30T10:10:00Z
-28.1039,38.2302,2017-07-04T11:01:00Z
-25.2655,37.6077,2019-05-16T10:27:00Z
-28.588,38.626,2017-05-20T09:13:00Z
-28.391,38.252,2017-04-20T09:46:00Z
-28.4777,38.3865,2016-05-05T10:47:00Z
-28.1857,38.3203,2018-06-03T11:27:00Z
-26.901797,38.971536,1998-01-01T00:00:00Z
-28.6175,38.5163,2017-04-03T15:12:00Z
-28.7215,38.6633,2017-03-25T12:39:00Z
-28.2379,38.3152,2018-05-31T15:18:00Z
-25.247,37.663,2020-01-09T11:00:00Z
-26.859315,38.692708,1998-01-01T00:00:00Z
-25.6122,37.6798,2016-04-21T10:29:00Z
-28.2107,38.3705,2018-04-27T09:20:00Z
-28.2107,38.3705,2018-04-27T09:20:00Z
-29.053467,38.538167,2014-05-26T00:00:00Z
-28.6151,38.6644,2018-03-29T17:04:00Z
-28.1281,38.2913,2019-06-23T17:15:00Z
-28.5867,38.653,2017-06-24T10:07:00Z
-25.6778,37.6734,2019-05-27T09:25:00Z
-28.2452,38.3691,2017-04-06T09:16:00Z
-27.2554,38.5514,2018-03-26T11:13:00Z
-25.5524,37.7176,2018-05-17T10:08:00Z
-28.7215,38.6633,2017-03-25T12:39:00Z
-25.6973,37.6449,2019-04-20T09:29:00Z
-25.261899,37.671254,2020-01-26T00:00:00Z
-28.1857,38.3203,2018-06-03T11:27:00Z
-25.6428,37.6673,2019-04-10T10:18:00Z
-27.2457,38.5976,2015-05-30T10:08:00Z
-28.825903,38.857615,1998-01-01T00:00:00Z
-28.4334,38.318,2017-06-06T16:34:00Z
-27.476562,38.833796,1998-01-01T00:00:00Z
-25.369,37.6786,2018-05-17T13:17:00Z
-28.4137,38.4193,2014-05-10T10:15:00Z
-28.6597,38.4539,2015-06-17T17:01:00Z
-28.6643,38.7387,2015-06-07T00:00:00Z
-25.726,37.6648,2019-04-20T10:03:00Z
-25.6744,37.65,2016-04-20T10:20:00Z
-28.6096,38.6128,2018-03-27T15:32:00Z
-25.6681,37.7225,2019-05-01T18:03:00Z
-28.6864,38.4786,2016-05-19T12:11:00Z
-25.191,37.61,2019-05-20T14:46:00Z
-25.9048,37.749,2018-05-16T10:59:00Z
-29.39461,39.38061,2003-01-01T00:00:00Z
-28.49058,38.573432,2018-03-22T14:52:40Z
-29.703604,37.97159,1998-01-01T00:00:00Z
